Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,28,28-12-2015,37-127,LAL,@,CHO,L (-10),1,32:04:00,5,20,0.25,3,12,0.25,7,8,0.875,1,3,4,2,0,0,3,2,20,6.8,-13
33,29,30-12-2015,37-129,LAL,@,BOS,W (+8),1,33:09:00,5,18,0.278,2,5,0.4,3,5,0.6,1,10,11,3,0,0,4,3,15,4.2,12
34,,01-01-2016,37-131,LAL,,PHI,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
35,,03-01-2016,37-133,LAL,,PHO,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
36,,05-01-2016,37-135,LAL,,GSW,L (-21),Inactive,,,,,,,,,,,,,,,,,,,,,
37,30,07-01-2016,37-137,LAL,@,SAC,L (-3),1,30:56:00,10,19,0.526,2,6,0.333,6,8,0.75,1,1,2,3,0,1,3,2,28,17.9,-14
38,31,08-01-2016,37-138,LAL,,OKC,L (-4),1,28:28:00,8,20,0.4,1,5,0.2,2,2,1,2,2,4,6,1,0,2,3,19,12.2,-14
39,,10-01-2016,37-140,LAL,,UTA,L (-12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
40,32,12-01-2016,37-142,LAL,,NOP,W (+4),1,15:44,3,9,0.333,0,5,0,1,2,0.5,0,3,3,1,1,0,1,2,7,2.3,-6
41,33,14-01-2016,37-144,LAL,@,GSW,L (-18),1,27:28:00,4,15,0.267,0,4,0,0,0,,2,4,6,3,2,1,2,2,8,3.7,-11
42,34,16-01-2016,37-146,LAL,@,UTA,L (-27),1,14:40,2,8,0.25,0,3,0,1,1,1,1,0,1,2,0,0,0,0,5,2.3,-15
43,35,17-01-2016,37-147,LAL,,HOU,L (-17),1,24:00:00,2,5,0.4,1,2,0.5,0,0,,0,2,2,9,1,0,4,0,5,6.2,-12
44,36,20-01-2016,37-150,LAL,,SAC,L (-19),1,31:12:00,4,13,0.308,2,7,0.286,5,5,1,2,2,4,3,1,0,2,4,15,9,-13
45,37,22-01-2016,37-152,LAL,,SAS,L (-13),1,26:34:00,2,9,0.222,1,4,0.25,0,0,,1,1,2,6,0,1,3,2,5,1.6,-15
