id,created_at,text,,
6.31963E+17,13-08-2015 22:59,Thank you so much Dr. Scarborough and the University of Akron so much!!! My foundation and I truly appreciate the commitment made today,,
6.31962E+17,13-08-2015 22:55,Thanks so much Kristin! My foundation and I are truly grateful! Beautiful family by the way!  https://t.co/cXKaoX18i5,,
6.31456E+17,12-08-2015 13:24,RT @LJFamFoundation: @KingJames gave 23 @MakeAWish kids a VIP @Cavs player experience @TheQArena #IPROMISE http://t.co/vLBsvW9T6E,,
6.29446E+17,07-08-2015 00:17,Straight Up #StraightOuttaAkron @beatsbydre http://t.co/sxjh4cDeLu,,
6.2895E+17,05-08-2015 15:26,Happy G-day to my brother @pr_again!! So many good times thus far and so many more to come. Enjoy your day homie #RWTW,,
6.28616E+17,04-08-2015 17:19,A pizza chain that emulates Chipotle and counts LeBron James as an investor is going international http://t.co/zpoRQzqjRF via @YahooFinance,,
6.277E+17,02-08-2015 04:37,Good luck to @RondaRousey!! Getting ready to watch you kick a** #ShesABeast #StriveForGreatness,,
6.27587E+17,01-08-2015 21:10,RT @etnow: .@KingJames steals the spotlight in these super #NSFW @TrainwreckMovie bloopers. http://t.co/Qbw9Sqgnmc http://t.co/raZzFnTS79,,
6.27587E+17,01-08-2015 21:10,RT @SoleCollector: Nike and @kingjames support the Kay Yow Cancer Fund with a new Soldier 9: http://t.co/3A4QBq95ue http://t.co/mRKy81hezU,,
6.27587E+17,01-08-2015 21:10,"RT @nowtoronto: .@KingJames's Blaze Pizza, that's taking off in the U.S., is opening a Toronto location: http://t.co/1Hy0NlrxxI http://t.coâ€¦",,
6.27587E+17,01-08-2015 21:10,Don't forget people! It's going to be epic times for the Calloway's.  https://t.co/0rdoBxfZA2,,
6.27584E+17,01-08-2015 20:57,@Drake and I kick ball game was just postponed due to rain showers. Drizzy we'll reschedule asap my brother #InThe6 #KlutchvsOVO #Family,,
6.27108E+17,31-07-2015 13:25,Road tripping wit my woe @ErnieRamos32! #NIT http://t.co/tr9t1y7cMF,,
6.26959E+17,31-07-2015 03:33,@CryoZonePA And that's part of the reason why Patrick is the best!! #StriveForGreatnessPat,,
6.26889E+17,30-07-2015 22:55,RT @DWadeisDMan: #FriendshipDay http://t.co/7BjYVjmWvL,,
6.26796E+17,30-07-2015 16:44,The homies telling me to get on the Snap. Didn't know what that meant til now. Should I?,,
6.26585E+17,30-07-2015 02:46,#NIT coming soon. Man o man. #JustSaying,,
6.26181E+17,29-07-2015 00:03,Well love you guys! Thanks for all the Q's.If I didn't get to you I will soon. Time for The Big Bang Theory and dinner. #StriveForGreatness,,
6.2618E+17,28-07-2015 23:59,@AxoraL6 One of the best feelings ever in life!!,,
6.2618E+17,28-07-2015 23:58,@FranzenLuca He's a problem on that court! Love him!,,
6.2618E+17,28-07-2015 23:57,"@nathanmedi SA, GS, Bos, Atl, Mia offense",,
6.26179E+17,28-07-2015 23:56,@DatDudeDHoov As long as she wanted me to last. I wanted to introduce myself to her at the ESPYs but didn't want her to kick my butt.,,
6.26179E+17,28-07-2015 23:54,@StevenRamirezzz ok no problem! Both of them are on the way now,,
6.26179E+17,28-07-2015 23:53,@charlie592013 I swear to you that I will try as hard as I can plus more!! I want to win and that's it.,,
6.26178E+17,28-07-2015 23:50,@Josue_jr2 Teleportation,,
6.26177E+17,28-07-2015 23:48,@Mo_Okda mix between him and Batman! Lol,,
6.26177E+17,28-07-2015 23:47,@thassan4590 You guys are going to be pretty damn good this coming year again. Good luck #ILovePop,,
6.26177E+17,28-07-2015 23:46,@maddieeee26 I do? Didn't know that. Thanks!,,
